date,total,windows,macos,delta_total
2025-09-09,30,28,2,30
2025-09-10,30,28,2,0
2025-09-11,30,28,2,0
2025-09-12,30,28,2,0
2025-09-13,33,30,3,3
2025-09-14,33,30,3,0
2025-09-15,33,30,3,0
2025-09-16,33,30,3,0
2025-09-17,33,30,3,0
2025-09-18,33,30,3,0
2025-09-19,33,30,3,0
2025-09-20,33,30,3,0
2025-09-21,33,30,3,0
2025-09-22,33,30,3,0
2025-09-23,33,30,3,0
2025-09-24,33,30,3,0
2025-09-25,33,30,3,0
2025-09-26,33,30,3,0
2025-09-27,33,30,3,0
2025-09-28,33,30,3,0
2025-09-29,33,30,3,0
2025-09-30,33,30,3,0
2025-10-01,34,30,4,1
2025-10-02,34,30,4,0
2025-10-03,34,30,4,0
2025-10-04,34,30,4,0
2025-10-05,34,30,4,0
2025-10-06,34,30,4,0
2025-10-07,34,30,4,0
2025-10-08,34,30,4,0
2025-10-09,34,30,4,0
2025-10-10,34,30,4,0
2025-10-11,34,30,4,0
2025-10-12,34,30,4,0
2025-10-13,34,30,4,0
2025-10-14,34,30,4,0
2025-10-15,34,30,4,0
2025-10-16,34,30,4,0
2025-10-17,34,30,4,0
2025-10-18,34,30,4,0
2025-10-19,34,30,4,0
2025-10-20,34,30,4,0
2025-10-21,34,30,4,0
2025-10-22,34,30,4,0
2025-10-23,34,30,4,0
2025-10-24,34,30,4,0
2025-10-25,34,30,4,0
2025-10-26,34,30,4,0
2025-10-27,34,30,4,0
2025-10-28,34,30,4,0
2025-10-29,34,30,4,0
2025-10-30,34,30,4,0
2025-10-31,34,30,4,0
2025-11-01,34,30,4,0
2025-11-02,34,30,4,0
2025-11-03,34,30,4,0
2025-11-04,34,30,4,0
2025-11-05,34,30,4,0
2025-11-06,34,30,4,0
2025-11-07,34,30,4,0
2025-11-08,34,30,4,0
2025-11-09,34,30,4,0
2025-11-10,34,30,4,0
2025-11-11,34,30,4,0
2025-11-12,34,30,4,0
2025-11-13,34,30,4,0
2025-11-14,34,30,4,0
2025-11-15,34,30,4,0
2025-11-16,34,30,4,0
2025-11-17,34,30,4,0
2025-11-18,34,30,4,0
2025-11-19,34,30,4,0
2025-11-20,34,30,4,0
2025-11-21,34,30,4,0
2025-11-22,34,30,4,0
2025-11-23,34,30,4,0
2025-11-24,34,30,4,0
2025-11-25,34,30,4,0
2025-11-26,34,30,4,0
2025-11-27,34,30,4,0
2025-11-28,34,30,4,0
2025-11-29,34,30,4,0
2025-11-30,34,30,4,0
2025-12-01,34,30,4,0
2025-12-02,34,30,4,0
2025-12-03,34,30,4,0
2025-12-04,34,30,4,0
2025-12-05,34,30,4,0
2025-12-06,34,30,4,0
2025-12-07,34,30,4,0
2025-12-08,34,30,4,0
2025-12-09,37,32,5,3
2025-12-10,37,32,5,0
2025-12-11,37,32,5,0
2025-12-12,37,32,5,0
2025-12-13,37,32,5,0
2025-12-14,37,32,5,0
2025-12-15,37,32,5,0
2025-12-16,37,32,5,0
2025-12-17,37,32,5,0
